Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,answer_column_number,answer_value,answerB_value,char1_value,char1_value,char2_value,char2_value,click_choice_frame_1,click_choice_frame_1,click_choice_frame_1,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_3,click_choice_Frame_3,click_choice_Frame_3,Condition_Id,copy_of_frec_3126,copy_of_questionB_value,current_answer,frec,frec_value,has_question_column_number,has_question_value,index_value,key_pressed_Frame_3,key_pressed_sentence,question_column_number,question_value,question_value,questionB_value,reaction_time_frame_1,reaction_time_frame_1,reaction_time_frame_1,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_3,reaction_time_Frame_3,reaction_time_Frame_3,RT_sentence,sentence_line1_value,sentence_line2_value,sentence1_value,sentence1_value,sentence1B_value,sentence2_column_nr,sentence2B_value,sentenceA_line2_value,trial_end,trial_start,word_high_value,word_high_value,word_low_value,word_low_value
1374110,14,21,block_1,1,experimentaltask_B,4,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,NO,"",undefined,7,¿Tiene calor?,¿Tiene calor?,"","","","","","","","","","",1894,Tengo frío en los meses,de invierno. ,"","","",5,"","",1751271337614,1751271335721,"","","",""
1374110,15,10,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1850,No puede dejar de pensar,en la hora del almuerzo.,"","","",5,"","",1751271343422,1751271341573,"","","",""
1374110,16,55,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2108,Vamos a sacar el cristal,para limpiarlo. ,"","","",5,"","",1751271345826,1751271343718,"","","",""
1374110,17,83,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2108,Los diferentes sistemas,funcionan adecuadamente. ,"","","",5,"","",1751271348230,1751271346122,"","","",""
1374110,18,71,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1647,Mañana el amanecer será,precioso. ,"","","",5,"","",1751271350182,1751271348536,"","","",""
1374110,19,82,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1807,Se sospecha que los,informes tengan errores. ,"","","",5,"","",1751271352286,1751271350479,"","","",""
1374110,20,39,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1998,Esta mañana la cabeza,me daba vueltas. ,"","","",5,"","",1751271354590,1751271352592,"","","",""
1374110,21,66,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2341,Confiamos en las,visitas y su educación.,"","","",5,"","",1751271357223,1751271354881,"","","",""
1374110,22,7,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,"","",undefined,7,¿Se espera visita?,¿Se espera visita?,"","","","","","","","","","",2116,Estamos preparando la,casa para los invitados. ,"","","",5,"","",1751271359662,1751271357547,"","","",""
1374110,23,6,block_1,1,experimentaltask_B,4,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,NO,"",undefined,7,¿Seguirá todo igual?,¿Seguirá todo igual?,"","","","","","","","","","",1732,Cuando llegue el momento,la vida mejorará.,"","","",5,"","",1751271363430,1751271361698,"","","",""
1374110,24,29,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2161,Hay que preparar las,obras para la casa. ,"","","",5,"","",1751271368726,1751271366565,"","","",""
1374110,25,30,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2000,He mirado bien las zonas,por las que iremos. ,"","","",5,"","",1751271371022,1751271369022,"","","",""
1374110,26,93,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1780,Este año los impuestos,han subido de nuevo. ,"","","",5,"","",1751271390414,1751271388634,"","","",""
1374110,27,37,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1741,Me duele la manera,en la que me hablas.,"","","",5,"","",1751271392430,1751271390690,"","","",""
1374110,28,72,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1612,Tengo que vigilar al,fantasma atentamente. ,"","","",5,"","",1751271394335,1751271392723,"","","",""
1374110,29,96,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2170,Deja que las emociones,fluyan contigo. ,"","","",5,"","",1751271396804,1751271394634,"","","",""
1374110,30,59,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,SI,"",undefined,7,¿Está cerca de vencer?,¿Está cerca de vencer?,"","","","","","","","","","",1490,Estoy a una partida de,ganar el torneo. ,"","","",5,"","",1751271398559,1751271397071,"","","",""
1374110,31,58,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1761,Hay una sección dedicada,a libros de historia.,"","","",5,"","",1751271402246,1751271400485,"","","",""
1374110,32,2,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1827,Es importante usar el,tipo de ropa adecuado. ,"","","",5,"","",1751271404366,1751271402540,"","","",""
1374110,33,19,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1564,Es fácil trabajar con la,gente adecuada.,"","","",5,"","",1751271406230,1751271404666,"","","",""
1374110,34,15,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1803,No por tener más poder,te harán más caso. ,"","","",5,"","",1751271408334,1751271406531,"","","",""
1374110,35,92,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1403,Son demasiados los,empleados en la empresa. ,"","","",5,"","",1751271410039,1751271408636,"","","",""
1374110,36,98,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2818,Podremos ver diferentes,ocasiones para actuar. ,"","","",5,"","",1751271413126,1751271410308,"","","",""
1374110,37,40,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1684,Al final del juego la,verdad sale a la luz. ,"","","",5,"","",1751271415102,1751271413418,"","","",""
1374110,38,18,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1691,No sé cómo terminar la,serie de números. ,"","","",5,"","",1751271417087,1751271415397,"","","",""
1374110,39,13,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1560,Cuando veas el lugar,te encantará. ,"","","",5,"","",1751271418942,1751271417382,"","","",""
1374110,40,33,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2051,El movimiento del hombre,fue inesperado. ,"","","",5,"","",1751271421287,1751271419236,"","","",""
1374110,41,100,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2234,Esta semana tengo muchas ,reuniones por delante. ,"","","",5,"","",1751271423817,1751271421583,"","","",""
1374110,42,49,block_1,1,experimentaltask_B,4,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,NO,"",undefined,7,¿Parecen feas?,¿Parecen feas?,"","","","","","","","","","",2137,Son preciosas estas,flores campestres.,"","","",5,"","",1751271426247,1751271424109,"","","",""
1374110,43,77,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2275,Creo que podemos mejorar,esta escalera tan vieja.,"","","",5,"","",1751271431550,1751271429275,"","","",""
1374110,44,5,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1699,No confíes en que el amor,lo soluciona todo.,"","","",5,"","",1751271433542,1751271431843,"","","",""
1374110,45,3,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2142,No me ha gustado el modo,de hablar del médico. ,"","","",5,"","",1751271435984,1751271433843,"","","",""
1374110,46,43,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1858,Seguro que tus amigos,están a punto de llegar. ,"","","",5,"","",1751271438158,1751271436300,"","","",""
