"","Num_subjects","Num_items","power_FFD","power_FFD_upper","power_FFD_lower","power_SFD","power_SFD_upper","power_SFD_lower","power_GD","power_GD_upper","power_GD_lower","power_TVT","power_TVT_upper","power_TVT_lower"
"1",6,8,0,0.168433470983085,0,0.05,0.248732762772028,0.00126508949794979,0.05,0.248732762772028,0.00126508949794979,0,0.168433470983085,0
"2",6,16,0.05,0.248732762772028,0.00126508949794979,0.05,0.248732762772028,0.00126508949794979,0.05,0.248732762772028,0.00126508949794979,0,0.168433470983085,0
"3",6,24,0.05,0.248732762772028,0.00126508949794979,0.1,0.316982714019082,0.0123485271702948,0.1,0.316982714019082,0.0123485271702948,0.1,0.316982714019082,0.0123485271702948
"4",6,32,0.05,0.248732762772028,0.00126508949794979,0.15,0.378926826545314,0.0320709371854637,0.05,0.248732762772028,0.00126508949794979,0.1,0.316982714019082,0.0123485271702948
"5",6,40,0.2,0.436614002996668,0.0573339970500328,0.15,0.378926826545314,0.0320709371854637,0.1,0.316982714019082,0.0123485271702948,0.2,0.436614002996668,0.0573339970500328
"6",6,48,0.15,0.378926826545314,0.0320709371854637,0.3,0.542789182276289,0.118931590405728,0.1,0.316982714019082,0.0123485271702948,0,0.168433470983085,0
"7",6,56,0.15,0.378926826545314,0.0320709371854637,0.25,0.491045871707958,0.0865714691014345,0.25,0.491045871707958,0.0865714691014345,0.15,0.378926826545314,0.0320709371854637
"8",6,64,0.25,0.491045871707958,0.0865714691014345,0.2,0.436614002996668,0.0573339970500328,0.15,0.378926826545314,0.0320709371854637,0.2,0.436614002996668,0.0573339970500328
"9",6,72,0.05,0.248732762772028,0.00126508949794979,0.25,0.491045871707958,0.0865714691014345,0.05,0.248732762772028,0.00126508949794979,0.25,0.491045871707958,0.0865714691014345
"10",6,80,0.4,0.63945741269251,0.191190060725307,0.3,0.542789182276289,0.118931590405728,0.15,0.378926826545314,0.0320709371854637,0.25,0.491045871707958,0.0865714691014345
"11",12,8,0.05,0.248732762772028,0.00126508949794979,0,0.168433470983085,0,0.05,0.248732762772028,0.00126508949794979,0,0.168433470983085,0
"12",12,16,0.15,0.378926826545314,0.0320709371854637,0.05,0.248732762772028,0.00126508949794979,0.05,0.248732762772028,0.00126508949794979,0.2,0.436614002996668,0.0573339970500328
"13",12,24,0.15,0.378926826545314,0.0320709371854637,0.15,0.378926826545314,0.0320709371854637,0.15,0.378926826545314,0.0320709371854637,0.1,0.316982714019082,0.0123485271702948
"14",12,32,0.3,0.542789182276289,0.118931590405728,0.1,0.316982714019082,0.0123485271702948,0.3,0.542789182276289,0.118931590405728,0.1,0.316982714019082,0.0123485271702948
"15",12,40,0.15,0.378926826545314,0.0320709371854637,0.4,0.63945741269251,0.191190060725307,0.3,0.542789182276289,0.118931590405728,0.2,0.436614002996668,0.0573339970500328
"16",12,48,0.25,0.491045871707958,0.0865714691014345,0.4,0.63945741269251,0.191190060725307,0.25,0.491045871707958,0.0865714691014345,0.25,0.491045871707958,0.0865714691014345
"17",12,56,0.35,0.592188534532828,0.153909204784541,0.25,0.491045871707958,0.0865714691014345,0.35,0.592188534532828,0.153909204784541,0.15,0.378926826545314,0.0320709371854637
"18",12,64,0.3,0.542789182276289,0.118931590405728,0.45,0.684721866959451,0.230577896775924,0.35,0.592188534532828,0.153909204784541,0.4,0.63945741269251,0.191190060725307
"19",12,72,0.25,0.491045871707958,0.0865714691014345,0.6,0.808809939274693,0.36054258730749,0.35,0.592188534532828,0.153909204784541,0.2,0.436614002996668,0.0573339970500328
"20",12,80,0.4,0.63945741269251,0.191190060725307,0.3,0.542789182276289,0.118931590405728,0.35,0.592188534532828,0.153909204784541,0.45,0.684721866959451,0.230577896775924
"21",18,8,0.1,0.316982714019082,0.0123485271702948,0.05,0.248732762772028,0.00126508949794979,0.15,0.378926826545314,0.0320709371854637,0.15,0.378926826545314,0.0320709371854637
"22",18,16,0.1,0.316982714019082,0.0123485271702948,0.1,0.316982714019082,0.0123485271702948,0.1,0.316982714019082,0.0123485271702948,0.1,0.316982714019082,0.0123485271702948
"23",18,24,0.2,0.436614002996668,0.0573339970500328,0.25,0.491045871707958,0.0865714691014345,0.3,0.542789182276289,0.118931590405728,0.15,0.378926826545314,0.0320709371854637
"24",18,32,0.25,0.491045871707958,0.0865714691014345,0.4,0.63945741269251,0.191190060725307,0.3,0.542789182276289,0.118931590405728,0.25,0.491045871707958,0.0865714691014345
"25",18,40,0.35,0.592188534532828,0.153909204784541,0.4,0.63945741269251,0.191190060725307,0.2,0.436614002996668,0.0573339970500328,0.35,0.592188534532828,0.153909204784541
"26",18,48,0.35,0.592188534532828,0.153909204784541,0.55,0.769422103224076,0.315278133040549,0.45,0.684721866959451,0.230577896775924,0.25,0.491045871707958,0.0865714691014345
"27",18,56,0.4,0.63945741269251,0.191190060725307,0.65,0.846090795215459,0.407811465467172,0.4,0.63945741269251,0.191190060725307,0.4,0.63945741269251,0.191190060725307
"28",18,64,0.35,0.592188534532828,0.153909204784541,0.5,0.728042150439208,0.271957849560792,0.45,0.684721866959451,0.230577896775924,0.55,0.769422103224076,0.315278133040549
"29",18,72,0.4,0.63945741269251,0.191190060725307,0.55,0.769422103224076,0.315278133040549,0.55,0.769422103224076,0.315278133040549,0.5,0.728042150439208,0.271957849560792
"30",18,80,0.7,0.881068409594272,0.457210817723711,0.85,0.967929062814536,0.621073173454686,0.35,0.592188534532828,0.153909204784541,0.6,0.808809939274693,0.36054258730749
"31",24,8,0,0.168433470983085,0,0.15,0.378926826545314,0.0320709371854637,0.1,0.316982714019082,0.0123485271702948,0.15,0.378926826545314,0.0320709371854637
"32",24,16,0.25,0.491045871707958,0.0865714691014345,0.3,0.542789182276289,0.118931590405728,0.3,0.542789182276289,0.118931590405728,0.1,0.316982714019082,0.0123485271702948
"33",24,24,0.1,0.316982714019082,0.0123485271702948,0.25,0.491045871707958,0.0865714691014345,0.25,0.491045871707958,0.0865714691014345,0.15,0.378926826545314,0.0320709371854637
"34",24,32,0.35,0.592188534532828,0.153909204784541,0.55,0.769422103224076,0.315278133040549,0.55,0.769422103224076,0.315278133040549,0.35,0.592188534532828,0.153909204784541
"35",24,40,0.35,0.592188534532828,0.153909204784541,0.4,0.63945741269251,0.191190060725307,0.5,0.728042150439208,0.271957849560792,0.4,0.63945741269251,0.191190060725307
"36",24,48,0.5,0.728042150439208,0.271957849560792,0.7,0.881068409594272,0.457210817723711,0.7,0.881068409594272,0.457210817723711,0.5,0.728042150439208,0.271957849560792
"37",24,56,0.6,0.808809939274693,0.36054258730749,0.45,0.684721866959451,0.230577896775924,0.55,0.769422103224076,0.315278133040549,0.65,0.846090795215459,0.407811465467172
"38",24,64,0.55,0.769422103224076,0.315278133040549,0.55,0.769422103224076,0.315278133040549,0.5,0.728042150439208,0.271957849560792,0.7,0.881068409594272,0.457210817723711
"39",24,72,0.65,0.846090795215459,0.407811465467172,0.75,0.913428530898565,0.508954128292042,0.6,0.808809939274693,0.36054258730749,0.55,0.769422103224076,0.315278133040549
"40",24,80,0.85,0.967929062814536,0.621073173454686,0.95,0.99873491050205,0.751267237227972,0.8,0.942666002949967,0.563385997003332,0.7,0.881068409594272,0.457210817723711
"41",30,8,0.15,0.378926826545314,0.0320709371854637,0.2,0.436614002996668,0.0573339970500328,0.2,0.436614002996668,0.0573339970500328,0.2,0.436614002996668,0.0573339970500328
"42",30,16,0.2,0.436614002996668,0.0573339970500328,0.15,0.378926826545314,0.0320709371854637,0.3,0.542789182276289,0.118931590405728,0.3,0.542789182276289,0.118931590405728
"43",30,24,0.5,0.728042150439208,0.271957849560792,0.15,0.378926826545314,0.0320709371854637,0.25,0.491045871707958,0.0865714691014345,0.2,0.436614002996668,0.0573339970500328
"44",30,32,0.35,0.592188534532828,0.153909204784541,0.45,0.684721866959451,0.230577896775924,0.15,0.378926826545314,0.0320709371854637,0.75,0.913428530898565,0.508954128292042
"45",30,40,0.6,0.808809939274693,0.36054258730749,0.5,0.728042150439208,0.271957849560792,0.6,0.808809939274693,0.36054258730749,0.3,0.542789182276289,0.118931590405728
"46",30,48,0.4,0.63945741269251,0.191190060725307,0.65,0.846090795215459,0.407811465467172,0.55,0.769422103224076,0.315278133040549,0.35,0.592188534532828,0.153909204784541
"47",30,56,0.65,0.846090795215459,0.407811465467172,0.7,0.881068409594272,0.457210817723711,0.7,0.881068409594272,0.457210817723711,0.5,0.728042150439208,0.271957849560792
"48",30,64,0.65,0.846090795215459,0.407811465467172,0.65,0.846090795215459,0.407811465467172,0.65,0.846090795215459,0.407811465467172,0.75,0.913428530898565,0.508954128292042
"49",30,72,0.75,0.913428530898565,0.508954128292042,0.85,0.967929062814536,0.621073173454686,0.55,0.769422103224076,0.315278133040549,0.75,0.913428530898565,0.508954128292042
"50",30,80,0.85,0.967929062814536,0.621073173454686,0.8,0.942666002949967,0.563385997003332,0.75,0.913428530898565,0.508954128292042,0.9,0.987651472829705,0.683017285980918
"51",36,8,0.1,0.316982714019082,0.0123485271702948,0.15,0.378926826545314,0.0320709371854637,0.1,0.316982714019082,0.0123485271702948,0.05,0.248732762772028,0.00126508949794979
"52",36,16,0.1,0.316982714019082,0.0123485271702948,0.35,0.592188534532828,0.153909204784541,0.1,0.316982714019082,0.0123485271702948,0.2,0.436614002996668,0.0573339970500328
"53",36,24,0.45,0.684721866959451,0.230577896775924,0.6,0.808809939274693,0.36054258730749,0.2,0.436614002996668,0.0573339970500328,0.25,0.491045871707958,0.0865714691014345
"54",36,32,0.45,0.684721866959451,0.230577896775924,0.55,0.769422103224076,0.315278133040549,0.35,0.592188534532828,0.153909204784541,0.55,0.769422103224076,0.315278133040549
"55",36,40,0.7,0.881068409594272,0.457210817723711,0.7,0.881068409594272,0.457210817723711,0.7,0.881068409594272,0.457210817723711,0.55,0.769422103224076,0.315278133040549
"56",36,48,0.5,0.728042150439208,0.271957849560792,0.75,0.913428530898565,0.508954128292042,0.45,0.684721866959451,0.230577896775924,0.5,0.728042150439208,0.271957849560792
"57",36,56,0.65,0.846090795215459,0.407811465467172,0.85,0.967929062814536,0.621073173454686,0.6,0.808809939274693,0.36054258730749,0.8,0.942666002949967,0.563385997003332
"58",36,64,0.75,0.913428530898565,0.508954128292042,0.85,0.967929062814536,0.621073173454686,0.8,0.942666002949967,0.563385997003332,0.7,0.881068409594272,0.457210817723711
"59",36,72,0.95,0.99873491050205,0.751267237227972,0.85,0.967929062814536,0.621073173454686,0.7,0.881068409594272,0.457210817723711,0.9,0.987651472829705,0.683017285980918
"60",36,80,0.9,0.987651472829705,0.683017285980918,1,1,0.831566529016915,0.95,0.99873491050205,0.751267237227972,0.9,0.987651472829705,0.683017285980918
"61",42,8,0.2,0.436614002996668,0.0573339970500328,0.2,0.436614002996668,0.0573339970500328,0.2,0.436614002996668,0.0573339970500328,0.1,0.316982714019082,0.0123485271702948
"62",42,16,0.3,0.542789182276289,0.118931590405728,0.35,0.592188534532828,0.153909204784541,0.35,0.592188534532828,0.153909204784541,0.25,0.491045871707958,0.0865714691014345
"63",42,24,0.3,0.542789182276289,0.118931590405728,0.4,0.63945741269251,0.191190060725307,0.4,0.63945741269251,0.191190060725307,0.6,0.808809939274693,0.36054258730749
"64",42,32,0.5,0.728042150439208,0.271957849560792,0.7,0.881068409594272,0.457210817723711,0.5,0.728042150439208,0.271957849560792,0.5,0.728042150439208,0.271957849560792
"65",42,40,0.6,0.808809939274693,0.36054258730749,0.8,0.942666002949967,0.563385997003332,0.65,0.846090795215459,0.407811465467172,0.75,0.913428530898565,0.508954128292042
