Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,age,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_copy_of_copy_of_copy_of_Frequency_92be_98d3_f7db_0603_2f51,copy_of_copy_of_copy_of_copy_of_Frequency_92be_98d3_f7db_0603,copy_of_copy_of_copy_of_Frequency_92be_98d3_f7db,copy_of_copy_of_Frequency_92be_98d3,copy_of_copy_of_trial_number,copy_of_Frequency_92be,copy_of_trial_number,distance_monitor,freetext_quest2,Frequency,gaze_box,gaze_box_object,gender,P1_end,P1_start,P2_end,P2_start,P3_end,P3_start,P4_end,P4_start,P5_end,P5_start,physcial_width,pixel_density,Preview,preview,preview,Quest_changes,question_answer,screen_answer,screen_dist,text_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1257474,1,1,block_2,2,Provo_ID12,4,"","","","",1,high,"","","","","","","","","","","","",1741652178246,1741652170446,1741652189957,1741652178253,1741652195704,1741652189961,1741652200004,1741652195711,"","","","","","","","",0,"","","","",10,"","",""
1257474,1,1,block_2,2,Provo_ID11,5,"","","","",1,"",high,"","","","","","","","","","","",1741652260903,1741652243761,1741652265589,1741652260903,1741652269877,1741652265595,1741652274900,1741652269878,1741652277216,true,"","","","","","",0,"","","","",11,"","",""
1257474,1,1,block_3,3,Questions,1,"",20,"","",1,"","","","","","","",40,"","","","",Female,"","","","","","","","","","",14,"","","","","","","","","","","","","",""
1257474,1,1,block_1,1,instructions,1,"","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","",4.964953271028038,"","","","",1,"",60,"",1741651923988,6,"",1741651916862,""
1257474,1,1,block_2,2,Provo_ID7,1,"","","","",1,"","",high,"","","","","","","","","","",1741651967128,1741651963286,1741651976219,1741651967136,1741651979530,1741651976220,1741651986374,1741651979536,1741651988380,true,"","","","","","",1,"","","","",7,"","",""
1257474,1,1,block_2,2,Provo_ID3,2,"","","","",1,"","","",high,"","","","","","","","","",1741652033798,1741652026004,1741652039411,1741652033803,1741652046698,1741652039412,1741652051862,1741652046703,1741652057080,true,"","","","","","",0,"","","","",8,"","",""
1257474,1,1,block_2,2,Provo_ID2,3,"","","","",1,"","","","","",high,"","","","","","","",1741652107620,1741652103345,1741652118357,1741652107628,1741652129311,1741652118361,1741652135431,1741652129311,1741652137823,true,"","","","","","",0,"","","","",9,"","",""
