Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,answer_column_number,answer_value,answerB_value,char1_value,char1_value,char2_value,char2_value,click_choice_frame_1,click_choice_frame_1,click_choice_frame_1,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_3,click_choice_Frame_3,click_choice_Frame_3,Condition_Id,copy_of_frec_3126,copy_of_questionB_value,current_answer,frec,frec_value,has_question_column_number,has_question_value,index_value,key_pressed_Frame_3,key_pressed_sentence,question_column_number,question_value,question_value,questionB_value,reaction_time_frame_1,reaction_time_frame_1,reaction_time_frame_1,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_3,reaction_time_Frame_3,reaction_time_Frame_3,RT_sentence,sentence_line1_value,sentence_line2_value,sentence1_value,sentence1_value,sentence1B_value,sentence2_column_nr,sentence2B_value,sentenceA_line2_value,trial_end,trial_start,word_high_value,word_high_value,word_low_value,word_low_value
1373010,13,38,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,SI,"",undefined,7,"","","","","","","","","","","","",1714,En mi pueblo la tierra es,muy fértil. ,"","","",5,"","",1751038886056,1751038884343,"","","",""
1373010,14,71,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1322,Mañana el amanecer será,precioso. ,"","","",5,"","",1751038887664,1751038886344,"","","",""
1373010,15,99,block_1,1,experimentaltask_B,4,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,NO,"",undefined,7,¿Fue a por dulces?,¿Fue a por dulces?,"","","","","","","","","","",1743,El niño fue a por,pastillas para el abuelo.,"","","",5,"","",1751038889712,1751038887969,"","","",""
1373010,16,89,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,SI,"",undefined,7,¿Hay muchas tarjetas?,¿Hay muchas tarjetas?,"","","","","","","","","","",1953,Hay tantas tarjetas que,no puedo elegir. ,"","","",5,"","",1751038893552,1751038891600,"","","",""
1373010,17,75,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1572,Hay que cuidar el,lenguaje que utilizamos.,"","","",5,"","",1751038897279,1751038895707,"","","",""
1373010,18,93,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1904,Este año los impuestos,han subido de nuevo. ,"","","",5,"","",1751038899527,1751038897623,"","","",""
1373010,19,81,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1768,Todos los abogados están,preocupados con el caso. ,"","","",5,"","",1751038901599,1751038899831,"","","",""
1373010,20,56,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2291,El niño miraba cómo la,revista se imprimía.,"","","",5,"","",1751038904191,1751038901900,"","","",""
1373010,21,70,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1682,Esta tarde las tiendas,del centro cerrarán.,"","","",5,"","",1751038906192,1751038904510,"","","",""
1373010,22,14,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1985,Quiero ir al grupo para,hablarlo con todos.,"","","",5,"","",1751038908439,1751038906454,"","","",""
1373010,23,27,block_1,1,experimentaltask_B,4,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,NO,"",undefined,7,¿Preparan recetas?,¿Preparan recetas?,"","","","","","","","","","",1975,Están preparando las,leyes para el congreso. ,"","","",5,"","",1751038910720,1751038908745,"","","",""
