"","Trial_Nr","Trial_Id","Task_Name","Exp_Subject_Id","timestamp","list","Frequency","x","y","time","conf","time_diff"
"1",1,59,"sentence",953681,1721397114425,"A","low",108.814215660095,151.076569408178,1.599853515625,1,NA
"2",1,59,"sentence",953681,1721397114459,"A","low",118.493103981018,153.984888643026,33.699951171875,1,32.10009765625
"3",1,59,"sentence",953681,1721397114500,"A","low",120.851683616638,155.680540949106,81.699951171875,1,48
"4",1,59,"sentence",953681,1721397114525,"A","low",105.508661270142,148.055449873209,113.699951171875,1,32
"5",1,59,"sentence",953681,1721397114562,"A","low",114.254546165466,155.941130965948,145.599853515625,1,31.89990234375
"6",1,59,"sentence",953681,1721397114596,"A","low",114.980220794678,151.612099260092,177.699951171875,1,32.10009765625
"7",1,59,"sentence",953681,1721397114630,"A","low",211.187839508057,137.811168283224,209.599853515625,1,31.89990234375
"8",1,59,"sentence",953681,1721397114665,"A","low",247.559428215027,136.49390861392,241.599853515625,1,32
"9",1,59,"sentence",953681,1721397114687,"A","low",244.984340667725,132.583408802748,273.7998046875,1,32.199951171875
"10",1,59,"sentence",953681,1721397114727,"A","low",243.684840202332,131.188338249922,305.699951171875,1,31.900146484375
"11",1,59,"sentence",953681,1721397114763,"A","low",252.633738517761,129.061131924391,337.599853515625,1,31.89990234375
"12",1,59,"sentence",953681,1721397114800,"A","low",264.216041564941,137.500058859587,369.599853515625,1,32
"13",1,59,"sentence",953681,1721397114830,"A","low",256.779050827026,131.04479983449,401.599853515625,1,32
"14",1,59,"sentence",953681,1721397114857,"A","low",240.508055686951,130.879629403353,433.599853515625,1,32
"15",1,59,"sentence",953681,1721397114903,"A","low",254.003381729126,134.570201486349,465.599853515625,1,32
"16",1,59,"sentence",953681,1721397114935,"A","low",294.694018363953,300.697772204876,513.699951171875,1,48.10009765625
"17",1,59,"sentence",953681,1721397114967,"A","low",475.639367103577,200.885056704283,545.599853515625,0,31.89990234375
"18",1,59,"sentence",953681,1721397114991,"A","low",354.803508520126,332.576329261065,577.599853515625,0,32
"19",1,59,"sentence",953681,1721397115028,"A","low",305.311208963394,457.131403684616,609.699951171875,0,32.10009765625
"20",1,59,"sentence",953681,1721397115060,"A","low",213.302040100098,501.609644293785,641.599853515625,0,31.89990234375
"21",1,59,"sentence",953681,1721397115086,"A","low",220.071697235107,472.219821810722,673.599853515625,0,32
"22",1,59,"sentence",953681,1721397115119,"A","low",154.375243186951,418.268448114395,705.599853515625,0,32
"23",1,59,"sentence",953681,1721397115157,"A","low",140.950131416321,400.26803612709,737.7998046875,0,32.199951171875
"24",1,59,"sentence",953681,1721397115192,"A","low",121.244120597839,367.132079601288,769.599853515625,0,31.800048828125
"25",1,59,"sentence",953681,1721397115229,"A","low",169.21820640564,340.748396515846,801.599853515625,0.396074368670959,32
"26",1,59,"sentence",953681,1721397115262,"A","low",234.345626831055,318.765158951283,833.599853515625,0.929716983528632,32
"27",1,59,"sentence",953681,1721397115299,"A","low",266.847348213196,321.457707881927,865.699951171875,1,32.10009765625
"28",1,59,"sentence",953681,1721397115335,"A","low",305.629128217697,290.332107245922,897.7998046875,1,32.099853515625
"29",1,59,"sentence",953681,1721397115364,"A","low",326.049739122391,275.564608722925,945.599853515625,1,47.800048828125
"30",1,59,"sentence",953681,1721397115390,"A","low",335.523897409439,268.170871585608,977.599853515625,1,32
"31",1,59,"sentence",953681,1721397115429,"A","low",394.417002797127,265.656609088182,1009.69995117188,1,32.10009765625
"32",1,59,"sentence",953681,1721397115459,"A","low",397.384172677994,257.168922945857,1041.69995117188,1,32
"33",1,59,"sentence",953681,1721397115501,"A","low",446.221816539764,214.341270178556,1073.59985351562,1,31.89990234375
"34",1,59,"sentence",953681,1721397115537,"A","low",223.358082771301,288.292951136827,1105.69995117188,1,32.10009765625
"35",1,59,"sentence",953681,1721397115564,"A","low",183.35440158844,294.223442673683,1137.7998046875,1,32.099853515625
"36",1,59,"sentence",953681,1721397115600,"A","low",148.210692405701,292.837659269571,1169.69995117188,1,31.900146484375
"37",1,59,"sentence",953681,1721397115619,"A","low",169.051051139832,261.44471950829,1201.59985351562,1,31.89990234375
"38",1,59,"sentence",953681,1721397115657,"A","low",185.539650917053,265.095591545105,1233.7998046875,1,32.199951171875
