"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","corpus","freq","zipf","word_length"
"1",1072663,11,NA,1,"Cam","No",399.300048828125,399.300048828125,399.300048828125,399.300048828125,"Single-line corpus",1263,3.8,3
"2",1072663,11,NA,2,"was","No",NA,NA,NA,559.60009765625,"Single-line corpus",1509144,6.87,3
"3",1072663,11,NA,3,"dressed","No",338,NA,1989.59985351564,2325.19970703127,"Single-line corpus",6857,4.53,7
"4",1072663,11,NA,4,"well.","No",95.7998046875,95.7998046875,95.7998046875,95.7998046875,"Single-line corpus",540985,6.43,5
"5",1072663,25,NA,3,"is","No",461.10009765625,461.10009765625,461.10009765625,461.10009765625,"Single-line corpus",3047923,7.18,2
"6",1072663,25,NA,4,"sold","No",175.59985351563,175.59985351563,175.59985351563,175.59985351563,"Single-line corpus",20274,5,4
"7",1072663,15,NA,2,"is","No",128.099853515625,NA,638.39990234375,638.39990234375,"Single-line corpus",3047923,7.18,2
"8",1072663,15,NA,3,"new","No",576.7001953125,576.7001953125,576.7001953125,576.7001953125,"Single-line corpus",191855,5.98,3
"9",1072663,21,NA,2,"cat","No",142.89990234375,142.89990234375,142.89990234375,142.89990234375,"Single-line corpus",13608,4.83,3
"10",1072663,21,NA,3,"saw","No",670.599853515625,NA,1213.39965820312,1213.39965820312,"Single-line corpus",50895,5.4,3
"11",1072663,21,NA,4,"the","No",159,159,159,159,"Single-line corpus",9418422,7.67,3
"12",1072663,14,NA,2,"sand","No",799.80004882813,799.80004882813,799.80004882813,799.80004882813,"Single-line corpus",6499,4.51,4
"13",1072663,20,NA,2,"shop","No",864.699951171875,864.699951171875,864.699951171875,864.699951171875,"Single-line corpus",22769,5.05,4
"14",1072663,10,NA,3,"lost","No",638.800048828125,638.800048828125,638.800048828125,638.800048828125,"Single-line corpus",53100,5.42,4
"15",1072663,33,NA,2,"took","No",529,529,529,529,"Single-line corpus",56568,5.45,4
"16",1072663,33,NA,3,"away","No",NA,NA,NA,594.2001953125,"Single-line corpus",139294,5.84,4
"17",1072663,33,NA,4,"his","No",721.60009765625,721.60009765625,721.60009765625,721.60009765625,"Single-line corpus",502568,6.4,3
"18",1072663,38,NA,1,"Timothy","No",336.5,336.5,336.5,336.5,"Single-line corpus",646,3.51,7
"19",1072663,38,NA,3,"the","No",542.699951171875,542.699951171875,542.699951171875,542.699951171875,"Single-line corpus",9418422,7.67,3
"20",1072663,8,NA,1,"Samantha","No",271.800048828125,271.800048828125,271.800048828125,271.800048828125,"Single-line corpus",1169,3.76,8
"21",1072663,8,NA,2,"drew","No",528.500000000005,528.500000000005,528.500000000005,528.500000000005,"Single-line corpus",3417,4.23,4
"22",1072663,3,NA,2,"made","No",401.00024414062,401.00024414062,401.00024414062,401.00024414062,"Single-line corpus",162547,5.91,4
"23",1072663,26,NA,3,"sang","No",208.5,208.5,208.5,208.5,"Single-line corpus",2414,4.08,4
"24",1072663,22,NA,1,"John","No",401.5,401.5,401.5,401.5,"Single-line corpus",58894,5.47,4
"25",1072663,22,NA,2,"was","No",433.999999999995,433.999999999995,433.999999999995,433.999999999995,"Single-line corpus",1509144,6.87,3
"26",1072663,1,NA,1,"The","No",159.90014648437,159.90014648437,159.90014648437,159.90014648437,"Single-line corpus",9418422,7.67,3
"27",1072663,30,NA,3,"got","No",367,367,367,367,"Single-line corpus",590673,6.47,3
"28",1072663,40,NA,1,"He","No",530.5,NA,786.90014648437,786.90014648437,"Single-line corpus",1335537,6.82,2
"29",1072663,17,NA,1,"Several","No",NA,NA,NA,127.80004882813,"Single-line corpus",13435,4.82,7
"30",1072663,17,NA,4,"pie.","No",95.30004882812,95.30004882812,95.30004882812,95.30004882812,"Single-line corpus",7171,4.55,4
"31",1072663,28,NA,1,"The","No",432.60009765625,432.60009765625,432.60009765625,432.60009765625,"Single-line corpus",9418422,7.67,3
"32",1072663,28,NA,3,"dried","No",157.300048828125,157.300048828125,157.300048828125,157.300048828125,"Single-line corpus",2832,4.15,5
"33",1072663,28,NA,4,"up.","No",207.599853515625,207.599853515625,207.599853515625,207.599853515625,"Single-line corpus",683393,6.53,3
"34",1072663,29,NA,1,"The","No",NA,NA,NA,256.199951171875,"Single-line corpus",9418422,7.67,3
"35",1072663,16,NA,3,"shined","No",401.7998046875,401.7998046875,401.7998046875,401.7998046875,"Single-line corpus",50,2.4,6
"36",1072663,37,NA,2,"car","No",800.699951171875,800.699951171875,800.699951171875,800.699951171875,"Single-line corpus",55649,5.44,3
"37",1072663,35,NA,2,"was","No",589.39990234375,NA,862.7998046875,862.7998046875,"Single-line corpus",1509144,6.87,3
"38",1072663,39,NA,2,"knew","No",866.099853515625,866.099853515625,866.099853515625,866.099853515625,"Single-line corpus",46256,5.36,4
"39",1072663,24,NA,1,"He","No",333.800048828125,333.800048828125,333.800048828125,333.800048828125,"Single-line corpus",1335537,6.82,2
"40",1072663,4,NA,1,"Jo","No",318.199951171875,318.199951171875,318.199951171875,318.199951171875,"Single-line corpus",6279,4.49,2
"41",1072663,4,NA,2,"was","No",NA,NA,NA,143.2001953125,"Single-line corpus",1509144,6.87,3
"42",1072663,4,NA,4,"pleased.","No",193.300048828125,193.300048828125,193.300048828125,193.300048828125,"Single-line corpus",19492,4.99,8
"43",1072663,19,NA,1,"Tristan","No",270.199951171875,NA,398,398,"Single-line corpus",552,3.44,7
"44",1072663,19,NA,2,"liked","No",609,NA,1566.09985351563,1566.09985351563,"Single-line corpus",13943,4.84,5
"45",1072663,7,NA,1,"Poppy","No",NA,NA,NA,144.89990234376,"Single-line corpus",1931,3.98,5
"46",1072663,7,NA,3,"paid","No",130.10009765625,130.10009765625,130.10009765625,130.10009765625,"Single-line corpus",30840,5.18,4
"47",1072663,23,NA,2,"driver","No",224.300048828125,224.300048828125,224.300048828125,224.300048828125,"Single-line corpus",10301,4.71,6
"48",1072663,23,NA,3,"was","No",398,398,398,398,"Single-line corpus",1509144,6.87,3
"49",1072663,34,NA,2,"girl","No",799.39990234375,799.39990234375,799.39990234375,799.39990234375,"Single-line corpus",39601,5.29,4
"50",1072733,29,NA,1,"The","No",336.2001953125,336.2001953125,336.2001953125,336.2001953125,"Single-line corpus",9418422,7.67,3
"51",1072733,29,NA,2,"bus","No",592.19995117187,592.19995117187,592.19995117187,592.19995117187,"Single-line corpus",11117,4.74,3
"52",1072733,29,NA,3,"turned","No",590.80004882813,590.80004882813,590.80004882813,590.80004882813,"Single-line corpus",28415,5.15,6
