"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","corpus","freq","zipf","word_length"
"47",953681,60,"low",8,"porch","Yes",NA,NA,NA,96.1000976563009,"Frequency corpus",588,3.47,5
"48",953681,60,"low",9,"shined","No",271.999999999995,NA,608.100097656296,608.100097656296,"Frequency corpus",50,2.4,6
"49",953681,50,"low",2,"large","No",399.900146484375,399.900146484375,399.900146484375,399.900146484375,"Frequency corpus",25532,5.1,5
"50",953681,50,"low",5,"maize","Yes",175.900146484375,175.900146484375,175.900146484375,175.900146484375,"Frequency corpus",258,3.11,5
"51",953681,50,"low",6,"was","No",191.800048828125,191.800048828125,191.800048828125,191.800048828125,"Frequency corpus",1509144,6.87,3
"52",953681,50,"low",10,"for","No",111.59985351562,111.59985351562,111.59985351562,111.59985351562,"Frequency corpus",1706951,6.93,3
"53",953681,29,"high",5,"history","Yes",527.900146484375,NA,735.900146484375,735.900146484375,"Frequency corpus",35603,5.25,7
"54",953681,29,"high",8,"closed","No",NA,NA,NA,240,"Frequency corpus",9941,4.69,6
"55",953681,29,"high",9,"due","No",399.69995117187,399.69995117187,399.69995117187,399.69995117187,"Frequency corpus",12457,4.79,3
"56",953681,27,"high",2,"young","No",559.89990234375,559.89990234375,559.89990234375,559.89990234375,"Frequency corpus",64736,5.51,5
"57",953681,27,"high",6,"to","No",255.89990234375,255.89990234375,255.89990234375,255.89990234375,"Frequency corpus",5327272,7.42,2
"58",953681,27,"high",10,"table","Yes",176.19995117187,NA,304.09985351561,304.09985351561,"Frequency corpus",25504,5.1,5
"59",953681,38,"low",2,"citizens","No",560.199951171875,560.199951171875,560.199951171875,560.199951171875,"Frequency corpus",3477,4.24,8
"60",953681,38,"low",4,"concerned","No",703.90014648438,703.90014648438,703.90014648438,703.90014648438,"Frequency corpus",17041,4.93,9
"61",953681,23,"high",2,"budget","No",288.099853515625,288.099853515625,288.099853515625,288.099853515625,"Frequency corpus",31273,5.19,6
"62",953681,23,"high",3,"included","No",127.900146484375,127.900146484375,127.900146484375,127.900146484375,"Frequency corpus",3732,4.27,8
"63",953681,23,"high",5,"for","No",176.099853515625,176.099853515625,176.099853515625,176.099853515625,"Frequency corpus",1706951,6.93,3
"64",953681,23,"high",7,"system","Yes",96.10009765625,96.10009765625,96.10009765625,96.10009765625,"Frequency corpus",36799,5.26,6
"65",953681,13,"high",7,"tone","No",400.099853515625,NA,880.099853515625,880.099853515625,"Frequency corpus",3068,4.18,4
"66",953681,55,"low",1,"Vanessa","No",288,288,288,288,"Frequency corpus",1479,3.87,7
"67",953681,55,"low",5,"forgotten","No",608.099853515625,608.099853515625,608.099853515625,608.099853515625,"Frequency corpus",6580,4.51,9
"68",953681,55,"low",7,"purse","Yes",304,304,304,304,"Frequency corpus",1684,3.92,5
"69",953681,54,"low",3,"theory","No",543.900146484375,NA,1039.80029296876,1039.80029296876,"Frequency corpus",5599,4.44,6
"70",953681,54,"low",7,"paradox","Yes",303.80004882813,303.80004882813,303.80004882813,303.80004882813,"Frequency corpus",351,3.24,7
"71",953681,54,"low",10,"seemingly","No",96.10009765626,96.10009765626,96.10009765626,272.00024414064,"Frequency corpus",978,3.69,9
"72",953681,54,"low",11,"very","No",208,208,208,208,"Frequency corpus",519645,6.41,4
"73",953681,4,"high",2,"company's","No",272,272,272,272,"Frequency corpus",19,2,9
"74",953681,4,"high",3,"updated","No",160,160,160,160,"Frequency corpus",756,3.57,7
"75",953681,4,"high",5,"featured","No",271.89990234375,NA,783.80004882813,783.80004882813,"Frequency corpus",2060,4.01,8
"76",953681,47,"low",8,"tourists","No",112,112,112,112,"Frequency corpus",3245,4.21,8
"77",953681,47,"low",11,"low","No",192.10009765625,192.10009765625,192.10009765625,192.10009765625,"Frequency corpus",26261,5.12,3
"78",953681,15,"high",3,"experienced","No",671.800048828125,671.800048828125,671.800048828125,671.800048828125,"Frequency corpus",5920,4.47,11
"79",953681,15,"high",8,"the","No",NA,NA,NA,527.90014648438,"Frequency corpus",9418422,7.67,3
"80",953681,15,"high",9,"heavy","No",96,96,96,96,"Frequency corpus",16048,4.9,5
"81",953681,3,"high",1,"Building","No",640,640,640,640,"Frequency corpus",34959,5.24,8
"82",953681,3,"high",4,"require","No",368,NA,495.80004882812,495.80004882812,"Frequency corpus",3307,4.22,7
"83",953681,33,"low",2,"bike","No",960.10009765625,960.10009765625,960.10009765625,1264.00024414063,"Frequency corpus",7590,4.58,4
"84",953681,33,"low",4,"sturdy","Yes",432.09985351562,432.09985351562,432.09985351562,432.09985351562,"Frequency corpus",523,3.42,6
"85",953681,1,"high",5,"social","Yes",607.90014648438,NA,879.90014648438,879.90014648438,"Frequency corpus",18768,4.97,6
"86",953681,48,"low",2,"documentary","No",736.099853515625,736.099853515625,736.099853515625,736.099853515625,"Frequency corpus",2153,4.03,11
"87",953681,48,"low",4,"a","No",303.90014648438,303.90014648438,303.90014648438,303.90014648438,"Frequency corpus",4809384,7.38,1
"88",953681,44,"low",2,"is","No",495.800048828125,495.800048828125,495.800048828125,495.800048828125,"Frequency corpus",3047923,7.18,2
"89",953681,44,"low",3,"the","No",304,304,304,304,"Frequency corpus",9418422,7.67,3
"90",953681,44,"low",7,"golfer","No",239.80004882812,239.80004882812,239.80004882812,239.80004882812,"Frequency corpus",704,3.54,6
"91",953681,16,"high",1,"According","No",400,400,400,400,"Frequency corpus",12309,4.79,9
"92",953681,16,"high",4,"commission","No",432.5,432.5,432.5,432.5,"Frequency corpus",12236,4.78,10
