"","Rec_Session_Id","Trial_Nr","Trial_Id","Task_Name","question_accuracy","trial_start","trial_end"
"1",1113789,1,59,"sentence",1,1721397114346,1721397116122
"2",1113789,2,20,"sentence",1,1721397119343,1721397120740
"3",1113789,3,24,"sentence",1,1721397122940,1721397124369
"4",1113789,4,7,"sentence",1,1721397126521,1721397127510
"5",1113789,5,11,"sentence",1,1721397129651,1721397131105
"6",1113789,6,26,"sentence",1,1721397158727,1721397160421
"7",1113789,7,56,"sentence",1,1721397163240,1721397164666
"8",1113789,8,10,"sentence",1,1721397166887,1721397168260
"9",1113789,9,30,"sentence",1,1721397170934,1721397172549
"10",1113789,10,14,"sentence",1,1721397174781,1721397176125
"11",1113789,11,52,"sentence",0,1721397204156,1721397206556
"12",1113789,12,36,"sentence",1,1721397208653,1721397210198
"13",1113789,13,5,"sentence",1,1721397214552,1721397215933
"14",1113789,14,42,"sentence",1,1721397219127,1721397220755
"15",1113789,15,31,"sentence",1,1721397222692,1721397228227
"16",1113789,16,12,"sentence",1,1721397254649,1721397257757
"17",1113789,17,32,"sentence",1,1721397261243,1721397266674
"18",1113789,18,34,"sentence",1,1721397268704,1721397271421
"19",1113789,19,2,"sentence",1,1721397273718,1721397275519
"20",1113789,20,9,"sentence",1,1721397278679,1721397280518
"21",1113789,21,60,"sentence",1,1721397305907,1721397326177
"22",1113789,22,50,"sentence",1,1721397328854,1721397329948
"23",1113789,23,29,"sentence",1,1721397334750,1721397336423
"24",1113789,24,27,"sentence",1,1721397343844,1721397345499
"25",1113789,25,38,"sentence",1,1721397347773,1721397349491
"26",1113789,26,23,"sentence",1,1721397386807,1721397388019
"27",1113789,27,13,"sentence",1,1721397390122,1721397392039
"28",1113789,28,55,"sentence",1,1721397394418,1721397396293
"29",1113789,29,54,"sentence",1,1721397399247,1721397401557
"30",1113789,30,4,"sentence",1,1721397404360,1721397405861
"31",1113789,31,47,"sentence",1,1721397434037,1721397435703
"32",1113789,32,51,"sentence",1,1721397439314,1721397440789
"33",1113789,33,15,"sentence",0,1721397451256,1721397453079
"34",1113789,34,3,"sentence",1,1721397462879,1721397468112
"35",1113789,35,33,"sentence",1,1721397471487,1721397473367
"36",1113789,36,1,"sentence",1,1721397501080,1721397503160
"37",1113789,37,48,"sentence",1,1721397505576,1721397506776
"38",1113789,38,44,"sentence",1,1721397509224,1721397510530
"39",1113789,39,16,"sentence",1,1721397512371,1721397513743
"40",1113789,40,45,"sentence",1,1721397515951,1721397518758
"41",1113789,41,17,"sentence",1,1721397548011,1721397549229
"42",1113789,42,37,"sentence",1,1721397557667,1721397559081
"43",1113789,43,25,"sentence",0,1721397567759,1721397576292
"44",1113789,44,53,"sentence",1,1721397606429,1721397608900
"45",1113789,45,22,"sentence",1,1721397617756,1721397619928
"46",1113789,46,43,"sentence",0,1721397645011,1721397646497
"47",1113789,47,21,"sentence",1,1721397648643,1721397650362
"48",1113789,48,39,"sentence",1,1721397652721,1721397654483
"49",1113789,49,18,"sentence",1,1721397656834,1721397658555
"50",1113789,50,49,"sentence",1,1721397660032,1721397662073
"51",1113789,51,41,"sentence",1,1721397687610,1721397689204
"52",1113789,52,58,"sentence",1,1721397691673,1721397693373
"53",1113789,53,28,"sentence",1,1721397695403,1721397696970
"54",1113789,54,46,"sentence",1,1721397698636,1721397699786
"55",1113789,55,35,"sentence",1,1721397701365,1721397702737
"56",1113789,56,8,"sentence",1,1721397764147,1721397765837
"57",1113789,57,40,"sentence",0,1721397768726,1721397770338
"58",1113789,58,57,"sentence",1,1721397772940,1721397775536
"59",1113789,59,19,"sentence",1,1721397777686,1721397778968
"60",1113789,60,6,"sentence",0,1721397781067,1721397782116
"61",1113869,1,32,"sentence",1,1721400603584,1721400607805
"62",1113869,2,43,"sentence",1,1721400609934,1721400615960
"63",1113869,3,41,"sentence",1,1721400619320,1721400623649
"64",1113869,4,49,"sentence",1,1721400625938,1721400629053
"65",1113869,5,12,"sentence",1,1721400630921,1721400633614
"66",1113869,6,47,"sentence",1,1721400660717,1721400664796
"67",1113869,7,44,"sentence",1,1721400667465,1721400670210
"68",1113869,8,56,"sentence",1,1721400672148,1721400676466
"69",1113869,9,55,"sentence",1,1721400678064,1721400682225
"70",1113869,10,33,"sentence",1,1721400684152,1721400686502
"71",1113869,11,6,"sentence",1,1721400713012,1721400715227
"72",1113869,12,39,"sentence",1,1721400717962,1721400724976
"73",1113869,13,37,"sentence",1,1721400726962,1721400730608
"74",1113869,14,54,"sentence",1,1721400732917,1721400736991
"75",1113869,15,21,"sentence",1,1721400739287,1721400743132
"76",1113869,16,46,"sentence",1,1721400769445,1721400771622
"77",1113869,17,2,"sentence",1,1721400773579,1721400775719
"78",1113869,18,28,"sentence",1,1721400778194,1721400780664
"79",1113869,19,10,"sentence",1,1721400782908,1721400785787
"80",1113869,20,53,"sentence",1,1721400790312,1721400792994
"81",1113869,21,17,"sentence",1,1721400819375,1721400821182
"82",1113869,22,50,"sentence",1,1721400823492,1721400825957
"83",1113869,23,9,"sentence",1,1721400828991,1721400832255
"84",1113869,24,26,"sentence",1,1721400833996,1721400842512
"85",1113869,25,8,"sentence",1,1721400844999,1721400847694
"86",1113869,26,19,"sentence",1,1721400873640,1721400875528
"87",1113869,27,5,"sentence",1,1721400877773,1721400880145
"88",1113869,28,40,"sentence",1,1721400882306,1721400884480
"89",1113869,29,20,"sentence",1,1721400886589,1721400890003
"90",1113869,30,42,"sentence",1,1721400892380,1721400896324
"91",1113869,31,14,"sentence",1,1721400922538,1721400927230
"92",1113869,32,51,"sentence",1,1721400929554,1721400931462
"93",1113869,33,30,"sentence",1,1721400933737,1721400935564
"94",1113869,34,13,"sentence",1,1721400937854,1721400939763
"95",1113869,35,16,"sentence",1,1721400942622,1721400945570
"96",1113869,36,27,"sentence",1,1721400975802,1721400978035
"97",1113869,37,3,"sentence",1,1721400980169,1721400982231
"98",1113869,38,57,"sentence",1,1721400984686,1721400987607
"99",1113869,39,45,"sentence",1,1721400990184,1721400996449
"100",1113869,40,48,"sentence",1,1721401000667,1721401004870
"101",1113869,41,38,"sentence",1,1721401031056,1721401032809
"102",1113869,42,59,"sentence",1,1721401035254,1721401037295
"103",1113869,43,34,"sentence",1,1721401038860,1721401040494
"104",1113869,44,11,"sentence",1,1721401043216,1721401045337
"105",1113869,45,1,"sentence",1,1721401048023,1721401050261
"106",1113869,46,52,"sentence",1,1721401076253,1721401080419
"107",1113869,47,4,"sentence",1,1721401082791,1721401084672
"108",1113869,48,23,"sentence",1,1721401087030,1721401088653
"109",1113869,49,18,"sentence",1,1721401091440,1721401093975
"110",1113869,50,58,"sentence",1,1721401096530,1721401098577
"111",1113869,51,31,"sentence",1,1721401124595,1721401126770
"112",1113869,52,36,"sentence",1,1721401129377,1721401130925
"113",1113869,53,25,"sentence",1,1721401132827,1721401137315
"114",1113869,54,7,"sentence",1,1721401140727,1721401144177
"115",1113869,55,35,"sentence",1,1721401146710,1721401148483
"116",1113869,56,60,"sentence",1,1721401174559,1721401177073
"117",1113869,57,24,"sentence",1,1721401178918,1721401181433
"118",1113869,58,22,"sentence",1,1721401185008,1721401187773
"119",1113869,59,15,"sentence",1,1721401192993,1721401195571
"120",1113869,60,29,"sentence",1,1721401198929,1721401201592
"121",1114039,1,8,"sentence",0,1721403354858,1721403361428
"122",1114039,2,14,"sentence",1,1721403364011,1721403365967
"123",1114039,3,55,"sentence",1,1721403368379,1721403371447
"124",1114039,4,46,"sentence",1,1721403373874,1721403376542
"125",1114039,5,7,"sentence",1,1721403379857,1721403382479
"126",1114039,6,60,"sentence",1,1721403408824,1721403413780
"127",1114039,7,1,"sentence",1,1721403416426,1721403418597
"128",1114039,8,39,"sentence",1,1721403420876,1721403424235
"129",1114039,9,9,"sentence",1,1721403425940,1721403428532
"130",1114039,10,56,"sentence",1,1721403431776,1721403434410
"131",1114039,11,13,"sentence",1,1721403460617,1721403463379
"132",1114039,12,36,"sentence",1,1721403473666,1721403476194
"133",1114039,13,28,"sentence",1,1721403478233,1721403480892
"134",1114039,14,30,"sentence",1,1721403482925,1721403486410
"135",1114039,15,24,"sentence",1,1721403488598,1721403491197
"136",1114039,16,37,"sentence",1,1721403527059,1721403533970
"137",1114039,17,58,"sentence",1,1721403536578,1721403538843
"138",1114039,18,15,"sentence",1,1721403540981,1721403543226
"139",1114039,19,57,"sentence",0,1721403545364,1721403549183
"140",1114039,20,12,"sentence",1,1721403551338,1721403553680
"141",1114039,21,5,"sentence",1,1721403579609,1721403581911
"142",1114039,22,50,"sentence",1,1721403585486,1721403587459
"143",1114039,23,45,"sentence",1,1721403590804,1721403593488
"144",1114039,24,18,"sentence",1,1721403596782,1721403599452
"145",1114039,25,34,"sentence",1,1721403601024,1721403604614
"146",1114039,26,17,"sentence",1,1721403630328,1721403637885
"147",1114039,27,16,"sentence",1,1721403640994,1721403643329
"148",1114039,28,47,"sentence",1,1721403646683,1721403649084
"149",1114039,29,32,"sentence",1,1721403651928,1721403653761
"150",1114039,30,54,"sentence",1,1721403656446,1721403659117
"151",1114039,31,26,"sentence",1,1721403691179,1721403694369
"152",1114039,32,19,"sentence",1,1721403702988,1721403705531
"153",1114039,33,25,"sentence",1,1721403711945,1721403714796
"154",1114039,34,21,"sentence",1,1721403723725,1721403727206
"155",1114039,35,23,"sentence",1,1721403730998,1721403733984
"156",1114039,36,27,"sentence",1,1721403763522,1721403766020
"157",1114039,37,40,"sentence",1,1721403770263,1721403774154
"158",1114039,38,35,"sentence",1,1721403777679,1721403780370
"159",1114039,39,31,"sentence",1,1721403783815,1721403788071
"160",1114039,40,38,"sentence",1,1721403791913,1721403794776
"161",1114039,41,33,"sentence",1,1721403828753,1721403830919
"162",1114039,42,3,"sentence",1,1721403834031,1721403835828
"163",1114039,43,53,"sentence",1,1721403839118,1721403843633
"164",1114039,44,22,"sentence",1,1721403845948,1721403848603
"165",1114039,45,52,"sentence",1,1721403851030,1721403855358
"166",1114039,46,43,"sentence",1,1721403881939,1721403885836
"167",1114039,47,10,"sentence",1,1721403888466,1721403890415
"168",1114039,48,59,"sentence",1,1721403892964,1721403895479
"169",1114039,49,44,"sentence",1,1721403897455,1721403899665
"170",1114039,50,41,"sentence",1,1721403901455,1721403904170
"171",1114039,51,4,"sentence",1,1721403930315,1721403935373
"172",1114039,52,42,"sentence",1,1721403937815,1721403940299
"173",1114039,53,29,"sentence",1,1721403942248,1721403945689
"174",1114039,54,20,"sentence",1,1721403947932,1721403950047
"175",1114039,55,6,"sentence",1,1721403952465,1721403954709
"176",1114039,56,48,"sentence",1,1721403980673,1721403983605
"177",1114039,57,2,"sentence",1,1721403985484,1721403988483
"178",1114039,58,49,"sentence",1,1721403990459,1721403993041
"179",1114039,59,11,"sentence",1,1721403994856,1721403996750
"180",1114039,60,51,"sentence",1,1721403998676,1721404000954
"181",1114069,1,54,"sentence",1,1721404797893,1721404802396
