"","Always_Fullscreen","Browser_Spec","BrowserVersion_Spec","Crowdsourcing_SubjId","End_Time","End_Time_Local","Exp_Subject_Id","FaceDetectionRate","Is_Fullscreen","Rec_Session_Id","Screen_Height_In_Pixels","Screen_Refresh_Rate","Screen_Width_In_Pixels","Start_Time","Start_Time_Local","System_Spec","TimeMeasure_Mean","TimeMeasure_Std","Window_Height_In_Pixels","Window_Width_In_Pixels","list"
"23",TRUE,"Chrome","132.0.0.0 Safari/537.36","6776bd24f4518b64f331b35b",NA,NA,1073855,8.6632591184381,TRUE,1252231,720,59.8802395209587,1280,2025-03-04 13:29:51.597,2025-03-04 13:29:38,"Windows-PC",NA,NA,720,1280,"A"
"24",TRUE,"Chrome","133.0.0.0 Safari/537.36","67a9342e0002d1f843008bea",NA,NA,1073857,15.7604412923562,TRUE,1252233,768,60.2409638554204,1366,2025-03-04 13:33:20.42,2025-03-04 13:31:55,"Windows-PC",NA,NA,768,1366,"A"
"25",TRUE,"Chrome","133.0.0.0 Safari/537.36","676573feb044b838eaaac58f",NA,NA,1073863,18.5459940652755,TRUE,1252239,900,59.8802395209587,1440,2025-03-04 13:37:56.414,2025-03-04 13:37:41,"Mac/OS-X",NA,NA,900,1440,"A"
"26",TRUE,"Microsoft Edge","33.0.0.0","6659beb07a900f403259c2d9",NA,NA,1073867,12.3411082315078,TRUE,1252245,864,59.8802395209587,1536,2025-03-04 13:44:45.247,2025-03-04 13:43:02,"Windows-PC",NA,NA,864,1536,"A"
"27",TRUE,"Chrome","133.0.0.0 Safari/537.36","662e3e72d494903379b6956a",NA,NA,1073868,46.6417910240294,TRUE,1252246,864,59.880239520962,1536,2025-03-04 13:45:41.945,2025-03-04 13:45:27,"Windows-PC",NA,NA,864,1536,"A"
"28",TRUE,"Chrome","133.0.0.0 Safari/537.36","66748a2360576bee33eeaaaf",NA,NA,1073869,33.7381916356423,TRUE,1252247,900,59.8802395209587,1440,2025-03-04 13:46:00.008,2025-03-04 13:45:53,"Mac/OS-X",NA,NA,900,1440,"C"
"29",TRUE,"Firefox","135","56b6e2fcf2fc70000c32f9d5",NA,NA,1073870,15.2905198776758,TRUE,1252248,956,60.0240096038421,1470,2025-03-04 13:46:48.581,2025-03-04 13:46:36,"Mac/OS-X",NA,NA,920,1470,"A"
"30",TRUE,"Chrome","131.0.0.0 Safari/537.36","63d13b6997850b99a55523e8",NA,NA,1073871,34.7342827255557,TRUE,1252249,923,30.0300300300299,1420,2025-03-04 13:48:48.384,2025-03-04 13:48:36,"Mac/OS-X",NA,NA,888,1420,"B"
"31",TRUE,"Microsoft Edge","33.0.0.0","5e9779d5f867330e192fe7e5",NA,NA,1073875,17.9147259031633,TRUE,1252253,720,59.8802395209587,1280,2025-03-04 13:54:55.444,2025-03-04 13:54:38,"Windows-PC",NA,NA,720,1280,"D"
"32",TRUE,"Chrome","133.0.0.0 Safari/537.36","6656d98153700fd933371467",NA,NA,1073877,13.2415254236766,TRUE,1252255,720,59.8802395209685,1280,2025-03-04 13:55:31.052,2025-03-04 13:53:34,"Windows-PC",NA,NA,576,1024,"A"
"33",TRUE,"Microsoft Edge","33.0.0.0","676053e11c87d9eb7724f23c",NA,NA,1073880,23.9923224567709,TRUE,1252258,800,59.8802395209587,1280,2025-03-04 13:56:30.904,2025-03-04 13:56:23,"Windows-PC",NA,NA,800,1280,"C"
"34",TRUE,"Chrome","132.0.0.0 Safari/537.36","5e2f2afece5e9a4ef7de8452",NA,NA,1073884,10.2690490860075,TRUE,1252262,1080,59.8802395209587,1920,2025-03-04 14:00:32.726,2025-03-04 14:00:24,"Linux-PC",NA,NA,1080,1920,"B"
"35",TRUE,"Microsoft Edge","33.0.0.0","65995e16bdbcee787c8ffc8c",NA,NA,1073885,24.6123554016899,TRUE,1252263,1080,144.927536231882,1920,2025-03-04 14:07:27.207,2025-03-04 14:07:16,"Windows-PC",NA,NA,1080,1920,"D"
"36",TRUE,"Firefox","135","5de4eec72cf204481c6e5c1e",NA,NA,1073889,5.98802395209581,TRUE,1252267,1440,60.0240096038412,3440,2025-03-04 14:09:20.297,2025-03-04 14:09:03,"Windows-PC",NA,NA,1440,3440,"C"
"37",TRUE,"Chrome","133.0.0.0 Safari/537.36","5c5865627607d00001432199",NA,NA,1073890,84.3881856540084,TRUE,1252268,800,60.0606016881895,1280,2025-03-04 14:10:20.099,2025-03-04 14:09:30,"Windows-PC",NA,NA,800,1280,"C"
"38",TRUE,"Chrome","133.0.0.0 Safari/537.36","660b46f30e0078173c658320",NA,NA,1073893,35.7015351667719,TRUE,1252271,1112,59.8802395209587,1710,2025-03-04 14:11:31.081,2025-03-04 14:11:06,"Mac/OS-X",NA,NA,1070,1710,"C"
"39",TRUE,"Chrome","133.0.0.0 Safari/537.36","5723714684458100317802686800",NA,NA,1073894,36.4298724954463,TRUE,1252272,1107,59.8802395209587,1710,2025-03-04 14:12:12.246,2025-03-04 14:11:30,"Mac/OS-X",NA,NA,1069,1710,"D"
"40",TRUE,"Chrome","133.0.0.0 Safari/537.36","67659f675138c37705b42224",NA,NA,1073898,34.5901072293213,TRUE,1252276,1440,59.8802395209587,2560,2025-03-04 14:14:55.835,2025-03-04 14:14:43,"Mac/OS-X",NA,NA,1440,2560,"C"
"41",TRUE,"Chrome","133.0.0.0 Safari/537.36","616c98c5821cbeeffb348e40",NA,NA,1073899,22.436616558073,TRUE,1252277,864,59.8802395209587,1536,2025-03-04 14:14:57.665,2025-03-04 14:14:50,"Windows-PC",NA,NA,864,1536,"B"
"42",FALSE,"Chrome","133.0.0.0 Safari/537.36","6007421356226920359b5f3e",NA,NA,1073904,38.5059684533863,FALSE,1252282,1080,144.927536231882,1920,2025-03-04 14:19:10.701,2025-03-04 14:19:02,"Windows-PC",NA,NA,911,1920,"B"
"43",TRUE,"Microsoft Edge","33.0.0.0","674ecb83817595fcffb8388c",NA,NA,1073905,31.3087038336842,TRUE,1252283,1200,59.8802395209587,1920,2025-03-04 14:19:46.064,2025-03-04 14:19:39,"Windows-PC",NA,NA,1200,1920,"B"
"44",TRUE,"Chrome","133.0.0.0 Safari/537.36","651282bee74e48b581f77d04",NA,NA,1073915,33.003300330033,TRUE,1252295,900,59.8802395209587,1440,2025-03-04 14:25:26.132,2025-03-04 14:25:06,"Mac/OS-X",NA,NA,900,1440,"D"
"45",TRUE,"Chrome","133.0.0.0 Safari/537.36","6662e75ec971186dce1d092b",NA,NA,1073919,34.7947112500805,TRUE,1252299,900,59.8802395209579,1440,2025-03-04 14:28:39.694,2025-03-04 14:28:32,"Mac/OS-X",NA,NA,900,1440,"B"
"46",TRUE,"Microsoft Edge","33.0.0.0","67740dc45be1bcdc911ee2fe",NA,NA,1073920,12.9148908692219,TRUE,1252301,1003,59.8802395209587,1504,2025-03-04 14:29:02.332,2025-03-04 14:28:53,"Windows-PC",NA,NA,1003,1504,"B"
"47",TRUE,"Chrome","130.0.0.0 Safari/537.36","67657a867d50769019b79609",NA,NA,1073927,10.2701037281734,TRUE,1252309,900,59.8802395209587,1440,2025-03-04 14:32:28.977,2025-03-04 14:32:19,"Mac/OS-X",NA,NA,900,1440,"D"
"48",TRUE,"Chrome","133.0.0.0 Safari/537.36","6779a9e873c439d6c6366b0b",NA,NA,1073929,24.7708694545921,TRUE,1252311,1080,59.8802395209579,1920,2025-03-04 14:32:35.661,2025-03-04 14:32:30,"Windows-PC",NA,NA,1080,1920,"D"
"49",TRUE,"Chrome","133.0.0.0 Safari/537.36","671c35abec458c9e4d98194a",NA,NA,1073944,51.5198350985576,TRUE,1252328,1080,59.880239520962,1920,2025-03-04 14:39:33.332,2025-03-04 14:38:46,"Windows-PC",NA,NA,1080,1920,"C"
