Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,answer_column_number,answer_value,answerB_value,char1_value,char1_value,char2_value,char2_value,click_choice_frame_1,click_choice_frame_1,click_choice_frame_1,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_3,click_choice_Frame_3,click_choice_Frame_3,Condition_Id,copy_of_frec_3126,copy_of_questionB_value,current_answer,frec,frec_value,has_question_column_number,has_question_value,index_value,key_pressed_Frame_3,key_pressed_sentence,question_column_number,question_value,question_value,questionB_value,reaction_time_frame_1,reaction_time_frame_1,reaction_time_frame_1,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_3,reaction_time_Frame_3,reaction_time_Frame_3,RT_sentence,sentence_line1_value,sentence_line2_value,sentence1_value,sentence1_value,sentence1B_value,sentence2_column_nr,sentence2B_value,sentenceA_line2_value,trial_end,trial_start,word_high_value,word_high_value,word_low_value,word_low_value
1387786,1,1,block_1,1,instructions,1,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1387786,1,1,block_1,1,prac_task,2,8,NO,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,SI,"",undefined,7,"","","","","","","","","","","","",104831,No hemos llegado todavía,al parque de atracciones.,"","","",5,"","",1752670822034,1752670717205,"","","",""
1387786,1,1,block_1,1,end_practice,3,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1387786,1,11,block_1,1,experimentaltask_B,4,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,NO,"",undefined,7,¿El señor fue descortés?,¿El señor fue descortés?,"","","","","","","","","","",2751,Cuando llegamos el señor,nos saludó. ,"","","",5,"","",1752670891137,1752670888386,"","","",""
1387786,1,1,block_1,1,outro,5,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1387786,2,5,block_1,1,prac_task,2,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,"","",undefined,7,"","","","","","","","","","","","",4531,La pared está manchada,de pintura verde.,"","","",5,"","",1752670829910,1752670825378,"","","",""
1387786,2,97,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",4077,En el libro aparecen las,criaturas más raras.,"","","",5,"","",1752670897790,1752670893711,"","","",""
1387786,3,4,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",4243,Cuando suene la sirena,saldrán por la puerta.,"","","",5,"","",1752670836953,1752670832709,"","","",""
1387786,3,18,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",4084,No sé cómo terminar la,serie de números. ,"","","",5,"","",1752670902169,1752670898085,"","","",""
1387786,4,3,block_1,1,prac_task,2,8,SI,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,"","",undefined,7,"","","","","","","","","","","","",3010,El niño no quería,quedarse en casa.,"","","",5,"","",1752670840274,1752670837264,"","","",""
1387786,4,86,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",3192,Esperemos que estas,ventanas aíslen del frío.,"","","",5,"","",1752670905673,1752670902482,"","","",""
1387786,5,2,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",3964,Espero que este verano,sea algo más fresco.,"","","",5,"","",1752670858848,1752670854884,"","","",""
1387786,5,66,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",3258,Confiamos en las,visitas y su educación.,"","","",5,"","",1752670909243,1752670905985,"","","",""
1387786,6,41,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2773,Cuantos más puntos haces,más puedes ganar. ,"","","",5,"","",1752670912292,1752670909519,"","","",""
1387786,7,79,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",3094,Podemos alejarnos de la,frontera por la guerra.,"","","",5,"","",1752670915681,1752670912587,"","","",""
1387786,8,54,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",3551,Todo equipo debe tener un,jugador con iniciativa. ,"","","",5,"","",1752670919499,1752670915947,"","","",""
1387786,9,8,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2918,No se ha elegido dónde,hacer la obra todavía. ,"","","",5,"","",1752670922705,1752670919788,"","","",""
1387786,10,9,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2670,Espero que la zona esté,bien habilitada. ,"","","",5,"","",1752670925681,1752670923011,"","","",""
1387786,11,42,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2686,Cuantos más metros,recorramos mejor. ,"","","",5,"","",1752670928679,1752670925993,"","","",""
1387786,12,67,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2904,Mientras las maletas,"llegan, esperaremos aquí.","","","",5,"","",1752670931866,1752670928962,"","","",""
1387786,13,65,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2371,En esta comunidad los,efectos ni se notaron.,"","","",5,"","",1752670934523,1752670932154,"","","",""
