"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","sub"
"0",14,13,1357.40014648438,1165.82860946655,931.075687408447,75.4561698188782,14.8283612422936,52.4085903167733,11.3505077362065,1344.40014648438,11
"1",14,1419.80004882813,2107.69995117188,1485.23969650269,883.390088081359,93.4215545625719,4.83434137272911,-86.1928272247317,6.08337879180942,687.89990234375,11
"2",14,2155.40014648438,2861.5,1135.22721290588,929.006899595261,42.6320033969881,15.3555527694212,47.3649120330816,-13.90672802925,706.09985351562,11
"4",15,35.10009765625,129.900146484375,1116.87308311462,984.122174978256,47.3614444599138,6.55463717150604,-53.2023143768293,-13.0620038509377,94.800048828125,11
"5",15,176.699951171875,530.10009765625,1150.50287246704,930.395436286926,42.9996926536587,21.919956576349,-25.1813697814933,14.0839362144472,353.400146484375,11
"6",15,545.400146484375,3261.30004882813,1275.71231842041,896.730633974076,167.770139144898,18.0027881648537,-68.0783176422134,-13.4496474266052,2715.89990234376,11
"8",30,39.5,181.199951171875,1256.00318908691,954.733854532242,16.7693448257448,2.95375504446004,52.8254985809333,11.1365532875064,141.699951171875,11
"9",30,196.5,1465,1227.04628944397,895.934908390044,161.28061110878,22.6889439096439,-64.0621900558483,12.3217356204984,1268.5,11
"10",7,22.900146484375,201.800048828125,1289.23457145691,863.729281425476,9.36699869441902,2.02532023000717,-43.0358695983882,12.669178247452,178.89990234375,11
"11",7,264.5,458.400146484375,1086.61408424377,946.8889939785,29.9801278438566,1.62738550972972,-37.796087265015,13.4325134754179,193.900146484375,11
"12",2,15.300048828125,194,1269.73361968994,871.772378683091,10.064675096512,1.96100995802871,26.511783599855,7.69433498382563,178.699951171875,11
"13",2,240.800048828125,1965.10009765625,1232.51352310181,910.042877197266,135.248494520187,33.9622816729547,51.0936546325697,-12.5659775733953,1724.30004882812,11
"14",2,2145.19995117188,2418.80004882813,1140.39175033569,938.07477235794,26.3184348907491,10.3858464660645,50.6608200073233,-8.55623602867132,273.60009765625,11
"15",2,2434,3411.5,1411.55184268952,878.381878137589,82.987769222259,4.63084859275801,-73.68465423584,12.8427815437315,977.5,11
"16",2,3427.80004882813,4125.30004882813,1264.25287246704,894.761431217194,47.3829925632468,8.52929496860504,80.2844715118401,-7.69007563590986,697.5,11
"17",28,10.5,254.699951171875,1371.38957977295,908.457230329513,23.562108687398,2.73895269155435,76.1279821395867,6.31886601448031,244.199951171875,11
"18",28,270.400146484375,779.699951171875,1082.21279144287,936.94975733757,36.8580731677999,6.67964692354202,53.04316520691,8.3691680431366,509.2998046875,11
