"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","sub","Freq"
"1",20,24.199951171875,250.300048828125,990.414857864379,839.977118968963,11.2201285114294,5.11655577921808,-32.304811477662,8.84699821472202,226.10009765625,11,"high"
"2",20,266,570.800048828125,1116.18310928345,802.844853401184,11.6309846706414,3.78705264973607,-59.7978734970084,15.409719944,304.800048828125,11,"high"
"3",20,602.800048828125,839.400146484375,1384.2102432251,768.571543693542,35.8361289167406,4.15703952240868,29.8173570632933,4.51040267944336,236.60009765625,11,"high"
"4",20,918.199951171875,1717.19995117188,1031.08571052551,860.482263565063,41.8377776355765,15.5126301712994,37.5342178344717,-17.6031231880188,799.000000000005,11,"high"
"5",20,1748.80004882813,2602.60009765625,1053.6737537384,895.173053741455,187.582163824082,35.4822978193761,-72.6048469543433,19.4436979293824,853.80004882812,11,"high"
"6",20,2696.5,3162.90014648438,926.72176361084,1025.55036306381,20.1040693473818,8.54860554742712,26.7650032043457,-15.5112200975433,466.40014648438,11,"high"
"7",20,3624.19995117188,4023.60009765625,1009.7266960144,960.427422523498,32.3051879882802,9.35599134635925,34.2595863342285,14.6645915508273,399.40014648437,11,"high"
"8",20,4054.5,4220.30004882813,923.857097625733,1018.7046790123,5.5483538246148,5.9899697599443,-22.2028923034675,18.539932966233,165.80004882813,11,"high"
"9",20,4267.5,5099.30004882813,1094.26465988159,849.068691730499,66.9903950958198,28.5765389699933,-45.3943634033183,17.9780745506287,831.80004882813,11,"high"
"10",20,5162,5468,980.67476272583,928.426351547242,27.900354114533,16.4026983332627,39.6710872650154,-16.9778358936313,306,11,"high"
"11",20,5499.40014648438,5655.10009765625,1125.3143119812,878.41525554657,17.2877152748074,1.2457391195304,-70.5460023880017,13.2144927978517,155.69995117187,11,"high"
"12",20,5686.80004882813,5765.19995117188,1320.64707756043,859.656937122345,29.9503931579624,11.0850039467815,-39.1137599945066,-9.90409970283469,78.39990234375,11,"high"
"13",20,6107.5,6202.19995117188,1055.82775115967,963.291656970978,55.8240661468492,19.3411194419862,-33.0607128143299,13.0688273906708,94.6999511718795,11,"high"
"14",20,6584.60009765625,6764.10009765625,1410.45046806335,770.333068370819,24.6625112228397,6.76309280204773,57.6461601257333,-10.8640730381011,179.5,11,"high"
"15",20,6779.90014648438,6953.5,1245.69366455078,795.075523853301,14.6598364105235,7.66547265100445,60.1833486557018,-12.2839379310608,173.59985351562,11,"high"
"16",20,6969.5,7126.40014648438,1095.13198852539,856.009100675583,31.794367858886,5.18364970135706,28.4537410736083,-18.6593878269197,156.90014648438,11,"high"
"17",31,33,500.900146484375,1018.70275497437,829.593386650085,26.7694463081377,11.4697839317323,47.8395080566403,-15.5827975273137,467.900146484375,11,"low"
"18",31,579.900146484375,1347.5,1146.12581253052,797.454825639724,120.136699367523,19.3973491752148,61.7471694946285,-13.7658476829528,767.599853515625,11,"low"
"19",31,1379,1669.60009765625,1247.35961914062,790.723124742509,31.0824462375639,8.70078372502403,-72.3696899414061,10.6419646739957,290.60009765625,11,"low"
"20",31,1732.30004882813,2406.80004882813,1000.70165634155,877.559630870819,75.4470783290878,27.4909154076573,-60.3044033050546,16.617068052292,674.5,11,"low"
"21",31,2422.60009765625,2744.10009765625,1059.24263000488,858.477966785431,48.1523757934587,22.7690494079597,-31.125783920288,12.547073364258,321.5,11,"low"
"22",31,2791.30004882813,3206.90014648438,1261.46865844727,828.40276479721,41.6370437622101,7.1753275308609,-70.5529499053951,9.91839051246632,415.60009765625,11,"low"
"23",31,3472.90014648438,3825.19995117188,896.663284301758,976.081577539444,10.2693396606444,9.26309696388169,-27.5923728942872,18.5769259929649,352.2998046875,11,"low"
"24",31,3895.40014648438,4231.69995117188,1200.60636520386,877.732193470001,51.6234019660943,4.67436897468567,-59.9073314666748,10.1893150806432,336.2998046875,11,"low"
"25",31,4295,4657,946.988239288331,1020.14562606812,46.6552067871092,27.7327589335448,-33.5589981079097,16.6934251785264,362,11,"low"
"26",31,4712,5046.40014648438,1097.74961471558,961.481916904449,65.5814262657144,22.3351658341887,56.1015033721917,-12.5261735916138,334.40014648438,11,"low"
"27",55,109.10009765625,571.900146484375,1061.09631538391,830.000138282776,25.01258306694,6.34602247524236,51.5544605255133,-14.7562694549557,462.800048828125,11,"low"
"28",55,602.900146484375,1182.40014648438,1119.07855987549,814.564218521119,103.335400005346,30.7231309075339,61.5966367721549,-12.2082889080046,579.500000000005,11,"low"
