Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,Frequency,gaze_box,gaze_box_object,pixel_density,Preview,preview,preview,question_answer,screen_dist,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1319531,1,1,block_1,1,wait,1,"","","",1,"","","","","","","","","","","","","","","",""
1319531,1,6,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541462395,66,"",1746541460597,""
1319531,1,25,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1746540735115,6,"",1746540730692,""
1319531,1,1,block_1,1,imported_instructions,2,"","","",1,"","","","","",5.841121495327103,"","","",1,60,1746540706323,5,"",1746540699801,""
1319531,2,4,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1746541466683,67,"",1746541464877,""
1319531,2,35,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1746540741843,7,"",1746540737885,""
1319531,3,20,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541470043,68,"",1746541468464,""
1319531,3,15,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1746540748971,8,"",1746540744644,""
1319531,4,5,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1746541474620,69,"",1746541472925,""
1319531,4,9,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746540757644,9,"",1746540753061,""
1319531,5,47,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1746540765067,10,"",1746540760527,""
1319531,5,16,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1746541478323,70,"",1746541476767,""
1319531,6,58,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1746540789595,11,"",1746540784236,""
1319531,6,10,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541500667,71,"",1746541498258,""
1319531,7,40,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541505019,72,"",1746541503063,""
1319531,7,46,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1746540795643,12,"",1746540791829,""
1319531,8,32,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1746540802493,13,"",1746540797993,""
1319531,8,38,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1746541508723,73,"",1746541507317,""
1319531,9,34,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541513043,74,"",1746541511808,""
1319531,9,23,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1746540808507,14,"",1746540805029,""
1319531,10,35,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1746541517579,75,"",1746541515899,""
1319531,10,49,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1746540817307,15,"",1746540812592,""
1319531,11,19,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541623044,76,"",1746541620848,""
1319531,11,31,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1746540867515,16,"",1746540863936,""
1319531,12,14,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746540873467,17,"",1746540869887,""
1319531,12,33,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541625181,77,"",1746541625077,""
1319531,13,28,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541634259,78,"",1746541630926,""
1319531,13,5,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746540878971,18,"",1746540876028,""
1319531,14,1,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541639315,79,"",1746541636956,""
1319531,14,42,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1746540885531,19,"",1746540881493,""
1319531,15,3,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541644996,80,"",1746541642446,""
1319531,15,24,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746540892323,20,"",1746540887984,""
1319531,16,36,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541664859,81,"",1746541663102,""
1319531,16,18,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1746540915683,21,"",1746540911183,""
1319531,17,57,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1746540922140,22,"",1746540917831,""
1319531,17,25,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1746541668755,82,"",1746541666513,""
1319531,18,54,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1746540929267,23,"",1746540925104,""
1319531,18,24,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541673547,83,"",1746541671300,""
1319531,19,11,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541677315,84,"",1746541675471,""
1319531,19,48,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1746540935467,24,"",1746540931516,""
1319531,20,2,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746540943835,25,"",1746540938352,""
1319531,20,31,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541680548,85,"",1746541678955,""
1319531,21,10,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746540966571,26,"",1746540963600,""
1319531,21,7,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1746541699859,86,"",1746541698427,""
1319531,22,13,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1746540973931,27,"",1746540969836,""
1319531,22,17,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541703875,87,"",1746541701851,""
1319531,23,13,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541707228,88,"",1746541705736,""
1319531,23,59,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1746540980844,28,"",1746540976878,""
1319531,24,28,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746540988131,29,"",1746540984133,""
1319531,24,18,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1746541710859,89,"",1746541709257,""
1319531,25,32,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541714195,90,"",1746541712463,""
1319531,25,50,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1746540994124,30,"",1746540990629,""
1319531,26,29,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1746541761675,91,"",1746541760207,""
1319531,26,17,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746541044411,31,"",1746541041149,""
1319531,27,7,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1746541049979,32,"",1746541046718,""
1319531,27,9,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541764979,92,"",1746541763540,""
1319531,28,2,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1746541769355,93,"",1746541767661,""
1319531,28,8,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746541056971,33,"",1746541053132,""
1319531,29,41,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1746541063147,34,"",1746541059215,""
1319531,29,8,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541773459,94,"",1746541771413,""
1319531,30,45,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1746541069331,35,"",1746541066269,""
1319531,30,15,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541776939,95,"",1746541775352,""
1319531,31,3,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1746541093427,36,"",1746541090687,""
1319531,31,22,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541797723,96,"",1746541796175,""
1319531,32,39,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1746541102987,37,"",1746541098408,""
1319531,32,30,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541803869,97,"",1746541801599,""
1319531,33,27,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1746541807403,98,"",1746541805830,""
1319531,33,4,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746541109859,38,"",1746541105911,""
1319531,34,37,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541812179,99,"",1746541810351,""
1319531,34,56,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1746541117323,39,"",1746541112944,""
1319531,35,39,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1746541815899,100,"",1746541814236,""
1319531,35,21,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746541123371,40,"",1746541119583,""
1319531,36,6,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1746541145323,41,"",1746541141583,""
1319531,36,14,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1746541835227,101,"",1746541833659,""
1319531,37,21,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1746541840011,102,"",1746541837992,""
1319531,37,43,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1746541151747,42,"",1746541148103,""
1319531,38,16,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1746541159435,43,"",1746541155230,""
1319531,38,26,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541844531,103,"",1746541842575,""
1319531,39,20,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1746541166939,44,"",1746541162837,""
1319531,39,23,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1746541849011,104,"",1746541846962,""
1319531,40,12,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1746541854003,105,"",1746541852549,""
