Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,Frequency,gaze_box,gaze_box_object,pixel_density,Preview,preview,preview,question_answer,screen_dist,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1346722,24,14,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",1,"",1748352201272,29,"",1748352199409,""
1346722,24,18,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748352662120,69,"",1748352657962,""
1346722,25,51,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352669664,70,"",1748352665021,""
1346722,25,23,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748352205304,30,"",1748352203676,""
1346722,26,16,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",1,"",1748352277816,31,"",1748352276826,""
1346722,26,4,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748352693576,71,"",1748352688857,""
1346722,27,20,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748352701272,72,"",1748352695923,""
1346722,27,4,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",1,"",1748352280784,32,"",1748352279468,""
1346722,28,13,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748352283616,33,"",1748352282492,""
1346722,28,49,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",0,"",1748352709001,73,"",1748352704027,""
1346722,29,21,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748352716152,74,"",1748352711437,""
1346722,29,34,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748352286784,34,"",1748352285681,""
1346722,30,22,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748352289744,35,"",1748352288577,""
1346722,30,36,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352721553,75,"",1748352718329,""
1346722,31,24,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748352309008,36,"",1748352308115,""
1346722,31,6,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748352774120,76,"",1748352770305,""
1346722,32,15,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748352312200,37,"",1748352311037,""
1346722,32,39,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352781352,77,"",1748352776929,""
1346722,33,31,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748352316608,38,"",1748352314885,""
1346722,33,53,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352788880,78,"",1748352783789,""
1346722,34,12,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748352319648,39,"",1748352318497,""
1346722,34,60,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352795664,79,"",1748352790740,""
1346722,35,37,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748352322664,40,"",1748352321601,""
1346722,35,55,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352802632,80,"",1748352797318,""
1346722,36,10,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748352824208,81,"",1748352820236,""
1346722,36,19,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748352342488,41,"",1748352340969,""
1346722,37,24,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748352832536,82,"",1748352827345,""
1346722,37,21,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",0,"",1748352346120,42,"",1748352344539,""
1346722,38,17,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748352838088,83,"",1748352834660,""
1346722,38,8,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748352349808,43,"",1748352348363,""
1346722,39,2,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",1,"",1748352353552,44,"",1748352351957,""
1346722,39,34,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352844112,84,"",1748352840769,""
1346722,40,27,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",0,"",1748352365032,45,"",1748352355356,""
1346722,40,48,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352851520,85,"",1748352846557,""
