Rec_Session_Id,Trial_Id,Trial_Nr,Block_Name,Block_Nr,Task_Name,Task_Nr,answer_column_number,answer_value,answer_value,answer_value,answerB_value,char1_value,char1_value,char2_value,char2_value,click_choice_frame_1,click_choice_frame_1,click_choice_frame_1,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_3,click_choice_Frame_3,click_choice_Frame_3,Condition_Id,copy_of_frec_3126,copy_of_questionB_value,current_answer,frec,frec_value,has_question_column_number,has_question_value,has_question_value,index_value,index_value,index_value,key_pressed_Frame_3,key_pressed_sentence,prac_line1_value,prac_line2_value,question_column_number,question_value,question_value,question_value,questionB_value,reaction_time_frame_1,reaction_time_frame_1,reaction_time_frame_1,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_3,reaction_time_Frame_3,reaction_time_Frame_3,RT_sentence,sentence_line1_value,sentence_line2_value,sentence1_value,sentence1_value,sentence1_value,sentence1B_value,sentence2_column_nr,sentence2_value,sentence2B_value,sentenceA_line2_value,trial_end,trial_start,word_high_value,word_high_value,word_low_value,word_low_value
1361080,71,50,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2182,"","","","","","",5,"","","",1750155741807,1750155739627,"","","",""
1361080,59,51,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2165,"","","","","","",5,"","","",1750155757209,1750155755045,"","","",""
1361080,81,52,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1758,"","","","","","",5,"","","",1750155760747,1750155758988,"","","",""
1361080,35,53,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2167,"","","","","","",5,"","","",1750155763209,1750155761043,"","","",""
1361080,74,54,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2128,"","","","","","",5,"","","",1750155765641,1750155763513,"","","",""
1361080,88,55,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1911,"","","","","","",5,"","","",1750155767817,1750155765908,"","","",""
1361080,8,56,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1920,"","","","","","",5,"","","",1750155770017,1750155768098,"","","",""
1361080,29,57,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2619,"","","","","","",5,"","","",1750155772947,1750155770328,"","","",""
1361080,100,58,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2465,"","","","","","",5,"","","",1750155775675,1750155773209,"","","",""
1361080,3,59,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1922,"","","","","","",5,"","","",1750155777875,1750155775953,"","","",""
1361080,64,60,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2363,"","","","","","",5,"","","",1750155780522,1750155778159,"","","",""
1361080,17,61,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1740,"","","","","","",5,"","","",1750155782537,1750155780797,"","","",""
1361080,2,62,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2015,"","","","","","",5,"","","",1750155784875,1750155782862,"","","",""
1361080,52,63,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1524,"","","","","","",5,"","","",1750155786681,1750155785157,"","","",""
1361080,62,64,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",0,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2184,"","","","","","",5,"","","",1750155789201,1750155787018,"","","",""
1361080,66,65,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2314,"","","","","","",5,"","","",1750155793121,1750155790807,"","","",""
1361080,83,66,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1553,"","","","","","",5,"","","",1750155795002,1750155793450,"","","",""
1361080,45,67,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",0,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1730,"","","","","","",5,"","","",1750155797001,1750155795272,"","","",""
1361080,56,68,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2730,"","","","","","",5,"","","",1750155801514,1750155798785,"","","",""
1361080,65,69,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1722,"","","","","","",5,"","","",1750155803554,1750155801833,"","","",""
