Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,distance_monitor,freetext_quest2,Frequency,gaze_box,gaze_box_object,physcial_width,pixel_density,Preview,preview,preview,Quest_changes,question_answer,screen_answer,screen_dist,text_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1252361,1,1,block_1,1,Questions,4,"","","",1,"","",60,"","","","",21,"","","","","","","","","","","","","",""
1252361,1,3,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741101660766,7,"",1741101659314,""
1252361,1,35,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741102044777,47,"",1741102040592,""
1252361,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","",5.619158878504673,"","","","",1,"",60,"",1741101623488,6,"",1741101610849,""
1252361,2,7,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741101665337,8,"",1741101663022,""
1252361,2,13,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741102052218,48,"",1741102047251,""
1252361,3,7,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741102060085,49,"",1741102054703,""
1252361,3,16,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741101669857,9,"",1741101668230,""
1252361,4,45,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741102067097,50,"",1741102062925,""
1252361,4,12,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741101675375,10,"",1741101673266,""
1252361,5,10,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741101679649,11,"",1741101677620,""
1252361,5,40,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741102074656,51,"",1741102070433,""
1252361,6,15,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741102106218,52,"",1741102101773,""
1252361,6,17,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741101708414,12,"",1741101706552,""
1252361,7,36,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741102119314,53,"",1741102112169,""
1252361,7,25,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741101712652,13,"",1741101710976,""
1252361,8,28,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741102126051,54,"",1741102122413,""
1252361,8,35,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741101717665,14,"",1741101715850,""
1252361,9,54,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741102136146,55,"",1741102128373,""
1252361,9,14,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741101721624,15,"",1741101719920,""
1252361,10,48,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741102142768,56,"",1741102139101,""
1252361,10,28,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741101725830,16,"",1741101724177,""
1252361,11,13,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741101755552,17,"",1741101753433,""
1252361,11,14,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741102172593,57,"",1741102169038,""
1252361,12,5,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741101760304,18,"",1741101758267,""
1252361,12,39,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741102182002,58,"",1741102175149,""
1252361,13,33,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741101765847,19,"",1741101763615,""
1252361,13,49,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741102188282,59,"",1741102184587,""
1252361,14,32,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741102194209,60,"",1741102190428,""
1252361,14,21,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741101770699,20,"",1741101768614,""
1252361,15,23,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741101775342,21,"",1741101773066,""
1252361,15,18,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741102202658,61,"",1741102196894,""
1252361,16,10,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741102242995,62,"",1741102239366,""
1252361,16,36,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741101802806,22,"",1741101801269,""
1252361,17,20,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741101806993,23,"",1741101805762,""
1252361,17,1,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741102250913,63,"",1741102246248,""
1252361,18,15,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741101812238,24,"",1741101809782,""
1252361,18,55,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741102257775,64,"",1741102253527,""
1252361,19,9,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741101817237,25,"",1741101815657,""
1252361,19,57,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741102265575,65,"",1741102260255,""
1252361,20,27,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741101821370,26,"",1741101820012,""
1252361,20,60,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741102272497,66,"",1741102268603,""
1252361,21,42,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741102302810,67,"",1741102299027,""
1252361,21,32,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741101848635,27,"",1741101847011,""
1252361,22,30,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741102311208,68,"",1741102305423,""
1252361,22,4,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741101853130,28,"",1741101851741,""
1252361,23,21,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741102321407,69,"",1741102314263,""
1252361,23,6,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741101857498,29,"",1741101855081,""
1252361,24,9,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741102328140,70,"",1741102323972,""
1252361,24,1,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741101861500,30,"",1741101860311,""
1252361,25,34,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741101865593,31,"",1741101864311,""
1252361,25,4,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741102339432,71,"",1741102330778,""
1252361,26,40,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741101893093,32,"",1741101891742,""
1252361,26,41,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741102375546,72,"",1741102370313,""
1252361,27,31,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741101896589,33,"",1741101895402,""
1252361,27,37,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741102383844,73,"",1741102380175,""
