Rec_Session_Id,Trial_Id,Trial_Nr,Block_Name,Block_Nr,Task_Name,Task_Nr,answer_column_number,answer_value,answer_value,answer_value,answerB_value,char1_value,char1_value,char2_value,char2_value,click_choice_frame_1,click_choice_frame_1,click_choice_frame_1,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_3,click_choice_Frame_3,click_choice_Frame_3,Condition_Id,copy_of_frec_3126,copy_of_questionB_value,current_answer,frec,frec_value,has_question_column_number,has_question_value,has_question_value,index_value,index_value,index_value,key_pressed_Frame_3,key_pressed_sentence,prac_line1_value,prac_line2_value,question_answer,question_column_number,question_value,question_value,question_value,questionB_value,reaction_time_frame_1,reaction_time_frame_1,reaction_time_frame_1,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_3,reaction_time_Frame_3,reaction_time_Frame_3,RT_sentence,sentence_line1_value,sentence_line2_value,sentence1_value,sentence1_value,sentence1_value,sentence1B_value,sentence2_column_nr,sentence2_value,sentence2B_value,sentenceA_line2_value,trial_end,trial_number,trial_start,word_high_value,word_high_value,word_low_value,word_low_value
1374885,1,1,block_1,1,instructions,1,"","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1374885,5,1,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","","","",1,"","",1,"","",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",6510,La pared está manchada,de pintura verde.,"","","","",5,"","","",1751365503906,"",1751365497401,"","","",""
1374885,1,1,block_1,1,end_practice,3,"","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1374885,29,1,block_1,1,experimental_task_A,4,8,"","","","","","","","","","","","","","","","","",1,"","",-1,low,"",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",3707,"","","","","","",5,"","","",1751365930818,"",1751365927113,"","","",""
1374885,1,1,block_1,1,outro,5,"","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1374885,3,2,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","","","",1,"","",1,"","",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",4123,El niño no quería,quedarse en casa.,"","","","",5,"","","",1751365511515,"",1751365507394,"","","",""
1374885,25,2,block_1,1,experimental_task_A,4,8,"","","","","","","","","","","","","","","","","",1,"","",-1,low,"",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",3213,"","","","","","",5,"","","",1751365934324,"",1751365931113,"","","",""
1374885,1,3,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","","","",1,"","",0,"","",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",4907,No hemos llegado todavía,al parque de atracciones.,"","","","",5,"","","",1751365523290,"",1751365518385,"","","",""
1374885,55,3,block_1,1,experimental_task_A,4,8,"","","","","","","","","","","","","","","","","",2,"","",-1,high,"",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",2430,"","","","","","",5,"","","",1751365937051,"",1751365934623,"","","",""
1374885,2,4,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","","","",1,"","",-1,"","",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",362238,Espero que este verano,sea algo más fresco.,"","","","",5,"","","",1751365888213,"",1751365525975,"","","",""
1374885,49,4,block_1,1,experimental_task_A,4,8,"","","","","","","","","","","","","","","","","",1,"","",0,low,"",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",2293,"","","","","","",5,"","","",1751365939635,"",1751365937344,"","","",""
1374885,4,5,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","","","",1,"","",-1,"","",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",8977,Cuando suene la sirena,saldrán por la puerta.,"","","","",5,"","","",1751365897533,"",1751365888555,"","","",""
1374885,90,5,block_1,1,experimental_task_A,4,8,"","","","","","","","","","","","","","","","","",2,"","",1,high,"",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",2375,"","","","","","",5,"","","",1751365944346,"",1751365941973,"","","",""
1374885,70,6,block_1,1,experimental_task_A,4,8,"","","","","","","","","","","","","","","","","",2,"","",-1,high,"",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",3503,"","","","","","",5,"","","",1751365950892,"",1751365947390,"","","",""
1374885,19,7,block_1,1,experimental_task_A,4,8,"","","","","","","","","","","","","","","","","",1,"","",-1,low,"",9,"","","","","","",undefined,"","","",7,"","","","","","","","","","","","","",2389,"","","","","","",5,"","","",1751365953560,"",1751365951173,"","","",""
