Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,Frequency,gaze_box,gaze_box_object,pixel_density,Preview,preview,preview,question_answer,screen_dist,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1326134,1,1,block_1,1,wait,1,"","","",1,"","","","","","","","","","","","","","","",""
1326134,1,34,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1747142913855,66,"",1747142910433,""
1326134,1,57,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1747142048423,6,"",1747142044276,""
1326134,1,1,block_1,1,imported_instructions,2,"","","",1,"","","","","",5.841121495327103,"","","",0,60,1747142020767,5,"",1747142014466,""
1326134,2,19,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1747142920887,67,"",1747142919141,""
1326134,2,4,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1747142056295,7,"",1747142052828,""
1326134,3,26,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1747142926095,68,"",1747142924020,""
1326134,3,26,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1747142065080,8,"",1747142060306,""
1326134,4,24,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1747142930001,69,"",1747142928832,""
1326134,4,33,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1747142072943,9,"",1747142070524,""
1326134,5,34,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1747142079487,10,"",1747142075851,""
1326134,5,5,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1747142934167,70,"",1747142932353,""
1326134,6,30,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1747142102871,11,"",1747142098954,""
1326134,6,17,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1747142954055,71,"",1747142952588,""
1326134,7,25,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1747142959103,72,"",1747142957128,""
1326134,7,48,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1747142109335,12,"",1747142105596,""
1326134,8,46,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1747142119039,13,"",1747142113795,""
1326134,8,7,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1747142965295,73,"",1747142963146,""
1326134,9,36,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1747142971264,74,"",1747142969618,""
1326134,9,51,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1747142125831,14,"",1747142122274,""
1326134,10,6,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1747142975959,75,"",1747142974333,""
1326134,10,8,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1747142134159,15,"",1747142130165,""
1326134,11,28,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1747143080855,76,"",1747143078597,""
1326134,11,20,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1747142191000,16,"",1747142187472,""
1326134,12,17,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1747142197863,17,"",1747142194156,""
1326134,12,39,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1747143085359,77,"",1747143084227,""
1326134,13,16,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1747143089951,78,"",1747143088699,""
1326134,13,3,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1747142203752,18,"",1747142200392,""
1326134,14,2,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1747143094319,79,"",1747143092905,""
1326134,14,35,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1747142212351,19,"",1747142208368,""
1326134,15,22,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1747143099823,80,"",1747143098330,""
